JobName,OMP_THREADS,Ntasks,GridX,GridY,Iterations,Max_total_time,Max_Communication_time,Max_Computation_time,Init_time
weak_scale_1n_8t,14,8,16000,8000,500,11.447244,0.389432,11.367923,0.000198
weak_scale_16n_128t,14,128,64000,32000,500,11.450362,0.487065,11.356064,0.002054
weak_scale_2n_16t,14,16,16000,16000,500,11.585963,0.639198,11.400586,0.070799
weak_scale_8n_64t,14,64,32000,32000,500,11.478511,0.433533,11.386252,0.002482
weak_scale_4n_32t,14,32,32000,16000,500,11.526985,0.479208,11.430686,0.005902
