JobName,OMP_THREADS,Ntasks,GridX,GridY,Iterations,Max_total_time,Max_Communication_time,Max_Computation_time,Init_time
strong_scale_16n_128t,14,128,30000,30000,500,4.966134,0.295097,4.926743,0.003331
strong_scale_8n_64t,14,64,30000,30000,500,9.882133,0.404455,9.760278,0.001265
strong_scale_4n_32t,14,32,30000,30000,500,20.173456,0.727468,20.020461,0.005372
strong_scale_2n_16t,14,16,30000,30000,500,40.476107,1.145141,40.171901,0.072173
strong_scale_1n_8t,14,8,30000,30000,500,77.731373,2.827964,77.576340,0.000251
