JobName,OMP_THREADS,Ntasks,GridX,GridY,Iterations,Max_total_time,Max_Communication_time,Max_Computation_time,Init_time
thread_scaling_112_threads,112,1,15000,15000,750,9.151654,0.000106,9.150726,0.000492
thread_scaling_84_threads,84,1,15000,15000,750,11.599139,0.000045,11.598316,0.000497
thread_scaling_56_threads,56,1,15000,15000,750,15.733951,0.000103,15.733158,0.000330
thread_scaling_32_threads,32,1,15000,15000,750,27.083403,0.000086,27.082687,0.000331
thread_scaling_16_threads,16,1,15000,15000,750,53.388275,0.000046,53.387552,0.000350
thread_scaling_8_threads,8,1,15000,15000,750,67.942381,0.000039,67.941885,0.000339
thread_scaling_4_threads,4,1,15000,15000,750,85.399161,0.000051,85.398620,0.000343
thread_scaling_2_threads,2,1,15000,15000,750,128.532783,0.000038,128.532231,0.000334
thread_scaling_1_threads,1,1,15000,15000,750,227.094509,0.000057,227.094023,0.000376
